"","Version","SystemRequirements"
"RCBR","0.5.9","MOSEK (http://www.mosek.com) and MOSEK License for
use of Rmosek,"
"rcdd","1.4","GMP (GNU MP bignum library from
<https://gmplib.org/>)"
"rcdk","3.6.0","Java JDK 8 or higher"
"Rcereal","1.2.1.1","C++11"
"rchallenge","1.3.4","pandoc (>= 1.12.3) -
http://johnmacfarlane.net/pandoc"
"rchie","1.0.2","V8 <= 3.15: libv8-3.14-dev (deb), v8-314-devel
(rpm), v8-3.14 (arch), v8@3.15 (homebrew)"
"RClickhouse","0.5.2","C++11"
"RclusTool","0.91.3","XQuartz (on OSX)"
"RcmdrPlugin.RMTCJags","1.0-2","jags (>= 3.0.0)"
"Rcplex","0.3-3","IBM ILOG CPLEX libraries and headers"
"RCPmod","2.190","C++11"
"Rcpp11","3.1.2.0.1","C++11"
"RcppAlgos","2.4.3","C++11, gmp (>= 4.2.3)"
"RcppBigIntAlgos","1.0.1","C++11, gmp (>= 4.2.3)"
"RcppCCTZ","0.2.9","A 64-bit POSIX OS such as Linux or OS X with IANA
time zone data in /usr/share/zoneinfo as well as a
recent-enough C++11 compiler (such as g++-4.9 or later which is
preferred, g++-4.8 works too). On Windows the zoneinfo included
with R is used; and time parsing support is enabled via a
backport of std::get_time from the LLVM libc++ library."
"RcppCWB","0.4.3","GNU make, ncurses, pcre (>= 7 < 10), GLib (>=
2.0.0). On Windows, no prior installations are necessary, as
pre-built (i.e. cross-compiled) binaries of required libraries
are downloaded from a GitHub repository
(<https://github.com/PolMine/libcl>) during installation. On
macOS, static libraries of Glib are downloaded
(<https://github.com/PolMine/libglib>) if Glib is not present."
"RcppEigenAD","1.0.0","C++11"
"RcppEnsmallen","0.2.18.0.1","C++11"
"RcppGetconf","0.0.3","A POSIX system. Currently Linux and OS X are known
to work."
"RcppGreedySetCover","0.1.0","C++11"
"RcppGSL","0.3.10","GNU GSL"
"RcppHMM","1.2.2","C++11"
"RcppMeCab","0.0.1.2","MeCab 0.996 (or mecab-ko 0.9.2) or higher, GNU make"
"RcppMLPACK","1.0.10-7","A C++11 compiler. Versions 4.8.*, 4.9.* or later of
GCC will be fine."
"RcppParallel","5.1.4","GNU make, Intel TBB, Windows: cmd.exe and
cscript.exe, Solaris: g++ is required"
"RcppRedis","0.1.11","An available hiredis library (eg via package
libhiredis-dev on Debian/Ubuntu, hiredis-devel on
Fedora/RedHat, or directly from source from
<https://github.com/redis/hiredis>) is preferred but otherwise
built on demand."
"RcppSimdJson","0.1.6","A C++17 compiler is currently required"
"RcppThread","1.0.0","C++11"
"RcppTOML","0.1.7","A C++11 compiler; g++ (>= 4.9.*) or newer works."
"rcrypt","0.1.1","GnuPG (https://gnupg.org/)"
"RCurl","1.98-1.5","GNU make, libcurl"
"RCzechia","1.8.3","GDAL (>= 2.2.3), GEOS (>= 3.6.2), PROJ (>= 4.9.3)"
"rdataretriever","3.0.0","Python (>= 3.0), retriever (>= 3.0.0) (version must
be listed to patch to allow parsing)"
"rde","0.1.0","xclip (https://github.com/astrand/xclip) or xsel
(http://www.vergenet.net/~conrad/software/xsel/) for accessing
the X11 clipboard"
"rDEA","1.2-6","GLPK (>= 4.52)"
"RDieHarder","0.2.1","GNU GSL for the GSL random-number generators"
"rDotNet","0.9.1","mono 4.x or higher on OSX / Linux, .NET 4.x or
higher on Windows, 'msbuild' and 'nuget' available in the path"
"rdoxygen","1.0.0","doxygen"
"Rdroolsjars","1.0.1","Java (>= 7.0)"
"readbitmap","0.1.5","libjpeg, libpng"
"readr","2.0.2","C++11"
"REBayes","2.2","MOSEK (http://www.mosek.com) and MOSEK license."
"reclin","0.1.1","C++11"
"recmap","1.0.11","C++11"
"Recocrop","0.3-2","C++11"
"recosystem","0.5","C++11"
"recurse","1.1.2","C++11"
"redist","3.1.5","OpenMPI, gmp, libxml2, python"
"redland","1.0.17-14","Mac OSX: redland (>= 1.0.14) ; Linux: librdf0 (>=
1.0.14), librdf0-dev (>= 1.0.14)"
"redux","1.1.0","hiredis"
"registr","1.0.0","GNU make"
"relSim","0.3-1","C++11"
"remotes","2.4.1","Subversion for install_svn, git for install_git"
"REPLesentR","0.4.1","Presentations written in (R)Markdown require Pandoc
(http://pandoc.org)."
"RepoGenerator","0.0.1","GitHub, 'RStudio'"
"reportfactory","0.4.0","pandoc (>= 1.14) - http://pandoc.org"
"represtools","0.1.3","GNU make"
"reprex","2.0.1","pandoc (>= 2.0) - http://pandoc.org"
"reproducible","1.2.8","'unrar' (Linux/macOS) or '7-Zip' (Windows) to work
with '.rar' files."
"reproj","0.4.2","PROJ (>= 4.4.6)"
"RestRserve","0.4.1","C++11"
"reticulate","1.22","Python (>= 2.7.0)"
"rextendr","0.2.0","Rust 'cargo'; the crate 'libR-sys' must compile
without error"
"rfacts","0.1.1","FACTS Linux engines (>= 6.2.4), FLFLL (>= 6.2.4),
Mono (>= 5.20.1.19)"
"Rfast","2.0.3","C++11"
"Rfast2","0.1.1","C++11"
"Rforestry","0.9.0.57","C++11"
"RFreak","0.3-0","Java (>= 5.0)"
"rgdal","1.5-27","PROJ (>= 4.8.0, https://proj.org/download.html) and
GDAL (>= 1.11.4, https://gdal.org/download.html), with versions
either (A) PROJ < 6 and GDAL < 3 or (B) PROJ >= 6 and GDAL >=
3. For degraded PROJ >= 6 and GDAL < 3, use the configure
argument '--with-proj_api=""proj_api.h""'."
"rGEDI","0.1.11","GNU Scientific Library (>= 2.1), HDF5 (>= 1.8.13),
libgeotiff (>= 1.4.0), szip (>= 2.1), zlib (>= 1.2)"
"rgeoda","0.0.8-6","C++14"
"rgeos","0.5-8","GEOS (>= 3.2.0); for building from source: GEOS
from http://trac.osgeo.org/geos/; GEOS OSX frameworks built by
William Kyngesburye at http://www.kyngchaos.com/ may be used
for source installs on OSX."
"RGF","1.0.8","Python (>= 3.6), rgf_python, scikit-learn (>=
0.18.0), scipy, numpy. Detailed installation instructions for
each operating system can be found in the README file."
"rgl","0.107.14","OpenGL, GLU Library, XQuartz (on OSX), zlib
(optional), libpng (>=1.2.9, optional), FreeType (optional),
pandoc (>=1.14, needed for vignettes; if not present, markdown
package will be used)"
"Rglpk","0.6-4","GLPK library package (e.g., libglpk-dev on
Debian/Ubuntu)"
"rgnparser","0.2.0","gnparser (<https://github.com/gnames/gnparser>)"
"rgrass7","0.2-6","GRASS (>= 7)"
"rGroovy","1.3","Java (>= 7)"
"RGtk2","2.20.36.2","Cairo (>= 1.0.0), ATK (>= 1.10.0), Pango (>=
1.10.0), GTK+ (>= 2.8.0), GLib (>= 2.8.0)"
"RH2","0.2.4","java runtime"
"rhli","0.0.2","GNU make"
"Rhpc","0.21-247","R built as a shared or static library, 'MPI'
library."
"ridge","3.0","Gnu Scientific Library version >= 1.14"
"rim","0.4.1","Maxima (https://sourceforge.net/projects/maxima/,
tested with versions >=5.42.1), needs to be on PATH"
"ripserr","0.1.1","C++11"
"rjags","4-12","JAGS 4.x.y"
"rJava","1.0-5","Java JDK 1.2 or higher (for JRI/REngine JDK 1.4 or
higher), GNU make"
"RJDemetra","0.1.7","Java SE 8 or higher"
"rjdmarkdown","0.2.0","Java SE 8 or higher"
"rJPSGCS","0.2-10","Java (>= 8), zlib headers and library."
"RJSDMX","2.3-3","Java (>= 7)"
"rJython","0.0-4","Java"
"rkafka","1.1","Oracle Java 7,Apache Kafka 2.8.0-0.8.1.1"
"rkafkajars","1.1","Oracle Java 7"
"RKEA","0.0-6","Java (>= 5.0)"
"RKEAjars","5.0-4","Java (>= 5.0)"
"RKEEL","1.3.3","Java (>= 8)"
"rkeops","1.4.2.2","C++11, cmake (>= 3.10), clang (optional), CUDA
(optional but recommended)"
"Rlda","0.2.6","GNU make"
"Rlgt","0.1-3","GNU make"
"Rlibeemd","1.4.2","GNU GSL"
"RMariaDB","1.1.2","libmariadb-client-lgpl-dev or libmariadb-dev or
libmysqlclient-dev, with libssl-dev (deb),
mariadb-connector-c-devel or mariadb-devel (rpm),
mariadb-connector-c or mysql-connector-c (brew)"
"RMark","2.2.7","notepad.exe, mark.exe (>= 8.0) (or mark32.exe and
mark64.exe) and rel_32.exe (see README.txt)"
"rmarkdown","2.11","pandoc (>= 1.14) - http://pandoc.org"
"rmatio","0.15.0","zlib headers and library."
"rmBayes","0.1.13","GNU make"
"rmcfs","1.3.5","Java (>= 7)"
"rmdcev","1.2.4","GNU make"
"rmdfiltr","0.1.3","pandoc (>= 2.0; https://pandoc.org)"
"rminizinc","0.0.8","pandoc (>=1.14, needed for the vignette)"
"Rmixmod","2.1.5","GNU make"
"RMOA","1.0.2","Java (>= 5.0)"
"RMOAjars","1.0.1","Java (>= 5.0)"
"Rmosek","1.3.5","MOSEK (>= 6) and MOSEK License (>= 6)"
"Rmpfr","0.8-5","gmp (>= 4.2.3), mpfr (>= 3.0.0), pdfcrop (part of
TexLive) is required to rebuild the vignettes."
"rmsb","0.0.2","GNU make"
"rmumps","5.2.1-14","C++11, GNU Make"
"rMVP","1.0.6","C++11"
"RMySQL","0.10.22","libmariadb-client-dev | libmariadb-client-lgpl-dev
| libmysqlclient-dev (deb), mariadb-devel (rpm), mariadb |
mysql-connector-c (brew), mysql56_dev (csw)"
"RNCBIEUtilsLibs","0.9","Java"
"rnetcarto","0.2.4","GNU GSL"
"RNetCDF","2.5-2","netcdf udunits-2"
"RNetLogo","1.0-4","Java (>= 8.0), NetLogo (>= 6.0)"
"RNewsflow","1.2.6","C++11"
"robfilter","4.1.2","C++11"
"RoBMA","2.1.0","JAGS >= 4.3.0 (https://mcmc-jags.sourceforge.io/)"
"robustlmm","2.4-5","C++11"
"RODBC","1.3-19","An ODBC3 driver manager and drivers."
"rodeo","0.7.7","The tools to run 'R CMD SHLIB' on 'Fortran' code.
The used 'Fortran' compiler must support pointer initialization
which is a feature of the 2008 standard. The compiler from
Oracle Developer Studio 12.6 on Solaris 10 currently does not
meet this requirement."
"roger","0.99-1","roger-base (for interface functions only)"
"Rogue","2.0.0","C99"
"roll","1.1.6","GNU make, C++11"
"rollRegres","0.1.3","C++11"
"ropenblas","0.2.10","GNU Make, GCC Compiler Suite (C and Fortran)"
"ROpenCVLite","4.52.0","cmake, C++11"
"roptim","0.1.5","C++11"
"ROracle","1.3-1","Oracle Instant Client or Oracle Database Client"
"roxygen2","7.1.2","C++11"
"rpart.LAD","0.1.2","C++11"
"RPEGLMEN","1.1.1","C++11"
"rpf","1.0.11","GNU make"
"Rpoppler","0.1-0","Poppler Glib interface headers and libraries
(<http://poppler.freedesktop.org/>) [Debian/Ubuntu:
libpoppler-glib-dev, Fedora: poppler-glib-devel]"
"rpostgis","1.4.3","'PostgreSQL' with 'PostGIS' extension"
"RPostgres","1.4.1","libpq >= 9.0: libpq-dev (deb) or postgresql-devel
(rpm)"
"rPref","1.3","C++11, GNU make, Windows: cmd.exe and cscript.exe"
"RProtoBuf","0.4.17","ProtoBuf libraries and compiler version 2.2.0 or
later; version 3.0.0 or later is supported as well. On
Debian/Ubuntu these can be installed as libprotoc-dev,
libprotobuf-dev and protobuf-compiler, while on Fedora/CentOS
protobuf-devel and protobuf-compiler are needed."
"RPushbullet","0.3.4","A user API key (which one can request from the
website at <http://www.pushbullet.com>), and one or more
devices to push messages to which may be any one of an (Android
or iOS) phone, a (Chrome or Firefox, or Opera or Safari)
browser or the (Windows or Mac) desktop application provided
the corresponding Pushbullet 'app' has been installed on any
one of these."
"RPyGeo","1.0.0","Python (>= 2.6.0), ArcGIS (>= 10.0)"
"RQuantLib","0.4.14","QuantLib library (>= 1.14) from
http://quantlib.org, Boost library from http://www.boost.org"
"Rquefts","1.2-1","C++11"
"rrd","0.2.2","The package depends on libraries from the RRD
project <http://oss.oetiker.ch/rrdtool/>. On Debian-based
systems, install 'librrd-dev', on CentOS based systems install
'rrdtool-devel', and on Fedora-based systems install
'rrdtool-devel'
<https://apps.fedoraproject.org/packages/rrdtool-devel>. For
more information, see the README."
"Rrdrand","0.1-16","need the RDRAND instruction on Intel CPU. and C
compiler must be able to compile a GNU-style in-line assembler."
"rriskDistributions","2.1.2","Tcl/Tk (>= 8.5), Tktable (>= 2.9)"
"rrum","0.2.0","C++11"
"RSAGA","1.3.0","SAGA GIS (2.3 LTS - 7.0.0)"
"Rsagacmd","0.1.1","SAGA-GIS (>= 2.3.1)"
"rscala","3.2.19","Scala (>= 2.11), Java (>= 8)"
"RScelestial","1.0.1","C++11"
"Rserve","1.7-3.1","libR, GNU make"
"RSiena","1.3.0","GNU make"
"Rsmlx","3.0.0","'Monolix' (<http://monolix.lixoft.com>)"
"rsparkling","0.2.19","Java (>6)"
"Rssa","1.0.4","fftw (>=3.2)"
"RsSimulx","1.0.1","'Simulx' (<http://simulx.lixoft.com/>)"
"rstan","2.21.2","GNU make, pandoc"
"rstanarm","2.21.1","GNU make, pandoc (>= 1.12.3), pandoc-citeproc"
"rstanemax","0.1.3","GNU make"
"rstantools","2.1.1","pandoc, C++14"
"rsubgroup","1.1","Java (>= 8)"
"RSurvey","0.9.3","Tcl/Tk (>= 8.5), Tktable (>= 2.9, optional)"
"rsvg","2.1.2","librsvg2"
"Rsymphony","0.1-31","SYMPHONY libraries and headers"
"rsyncrosim","1.2.9","SyncroSim (>=2.2.22)"
"rsyslog","1.0.2","POSIX.1-2001"
"RTD","0.4.1","embulk, embulk-output-td"
"rticles","0.21","GNU make"
"rtk","0.2.6.1","C++11"
"rtkore","1.5.5","GNU make"
"rtmpt","0.2-2","GSL (>=2.3)"
"rTorch","0.4.2","""conda (python>=3.6 pytorch torchvision cpuonly
numpy ( >= 1.14.0) matplotlib pandas -c pytorch);
python-minimal, pandoc pandoc-citeproc, qpdf; Python (>=3.6),
pytorch (>=1.4), torchvision, cpuonly, numpy ( >= 1.14.0);
pandoc (>= 2.0), qpdf ( >= 7.0) on Solaris"""
"rTRNG","4.23.1-1","GNU make"
"rubias","0.3.2","GNU make"
"rucrdtw","0.1.4","C++11"
"ruimtehol","0.3","C++11"
"runjags","2.2.0-2","JAGS >= 4.3.0 (http://mcmc-jags.sourceforge.net)"
"ruta","1.1.0","Python (>= 2.7); keras <https://keras.io/> (>= 2.1)"
"RUVIIIC","1.0.19","C++11"
"rviewgraph","1.4.1","'Java' version >= 8"
"rvinecopulib","0.6.1.1.1","C++11"
"RVowpalWabbit","0.0.16","The Boost 'program_options' library
<https://boost.org> is required."
"RWebLogo","1.0.3","Python (>=2.6) in path and NumPy module installed,
ghostscript (>=9.0)"
"RWeka","0.4-43","Java (>= 8)"
"RWekajars","3.9.3-2","Java (>= 8)"
"Rwofost","0.8-3","C++11"
"Ryacas","1.1.3.1","C++11"
"rzmq","0.9.8","ZeroMQ >= 3.0.0: libzmq3-dev (deb) or zeromq-devel
(rpm)"
"s2","1.0.7","OpenSSL >= 1.0.1"
"s2dv","1.0.0","cdo"
"s2dverification","2.10.0","cdo"
"salso","0.2.23","Cargo (>= 1.51.0) for installation from sources:
see INSTALL file"
"saotd","0.3.0","GSL (>=2.4), MPFR (>= 4.0.0), udunits2 (>=2.2.26-3)"
"SAR","1.0.3","GNU make"
"sarsop","0.6.9","mallinfo, hence Linux, MacOS or Windows"
"sasfunclust","1.0.0","GNU make"
"SASmarkdown","0.4.3","SAS"
"sass","0.4.0","GNU make"
"sbo","0.5.0","C++11"
"SBRect","0.26","java"
"SBSA","0.2.3","GNU make"
"scaffolder","0.0.1","Python (>= 2.7.0)"
"Scalelink","1.0","GNU make"
"SCAT","0.5.0","C++11"
"sccore","1.0.0","C++11"
"scModels","1.0.2","gmp (>= 4.2.3), mpfr (>= 3.0.0)"
"scoper","1.1.0","C++11"
"SCPME","1.0","GNU make"
"scs","1.3-2","GNU Make"
"sctransform","0.3.2","C++11"
"sdcTable","0.32.1","GLPK library, including -dev or -devel part"
"sdmApp","0.0.2","Java (>= 8)"
"SDMtune","1.1.5","Java (>= 8) and maxent.jar >= 3.4.1 to use Maxent"
"secr","4.4.7","GNU make"
"seewave","2.1.8","LIBSNDFILE"
"semver","0.2.0","C++11"
"sen2r","1.5.0","GDAL (>= 2.1.2), PROJ (>= 4.9.1), GEOS (>= 3.4.2),
Cairo, Curl, NetCDF, jq, Protocol Buffers, V8, OpenSSL,
Libxml2."
"sentometrics","1.0.0","GNU make"
"SeqDetect","1.0.7","C++14"
"seqHMM","1.2.0","C++11"
"seqinr","4.2-8","zlib headers and library."
"seqminer","8.0","C++11, zlib headers and libraries, GNU make,
optionally also bzip2 and POSIX-compliant regex functions."
"seqR","1.0.1","c++17, GNU make"
"sequenza","3.0.0","pandoc (>= 1.12.3)"
"set6","0.2.4","C++11"
"sf","1.0-3","C++11, GDAL (>= 2.0.1), GEOS (>= 3.4.0), PROJ (>=
4.8.0), sqlite3"
"sfheaders","0.4.0","C++11"
"SFS","0.1.4","C++11"
"sgmcmc","0.2.5","TensorFlow (https://www.tensorflow.org/),
TensorFlow Probability
(https://www.tensorflow.org/probability/)"
"SGP","1.9-5.0","(PDF)LaTeX (https://www.latex-project.org/) with
'pdfpages' package for studentGrowthPlot option in visualizeSGP
to bind together student growth plots into school catalogs"
"sharx","1.0-5","jags (>= 1.0.3)"
"shinyjs","2.0.0","pandoc with https support"
"shinyloadtest","1.1.0","pandoc (>= 2.2) - http://pandoc.org"
"shinytest","1.5.1","PhantomJS (http://phantomjs.org/)"
"shortcuts","1.4.0","RStudio"
"showtext","0.9-4","zlib, libpng, FreeType"
"SIBER","2.1.6","JAGS (>= 4.1)"
"sift","0.1.0","C++11"
"simhelpers","0.1.1","RStudio"
"SimilaR","1.0.8","C++11"
"SimInf","8.4.0","GNU Scientific Library (GSL)"
"SimJoint","0.3.7","GNU make"
"simplexreg","1.3","GNU Scientific Library version >= 1.8"
"simplextree","1.0.1","C++11"
"SimSurvNMarker","0.1.1","C++11"
"sismonr","2.1.0","Julia, v 1.0 or later"
"skm","0.1.5.4","GNU make"
"slasso","1.0.0","GNU make"
"slider","0.2.2","C++11"
"slowraker","0.1.1","Java (>= 5.0)"
"smam","0.6.0","GNU GSL, GNU make, C++11"
"SMITIDvisu","0.0.9","C++11"
"sodium","1.2.0","libsodium (>= 1.0.3)"
"SOFIA","1.0","Circos"
"sound","1.4.5","For playing sounds, a command line system tool for
playing wav-files is required."
"spacefillr","0.2.0","C++11"
"sparkbq","0.1.1","Spark (>= 2.2.x)"
"sparklyr","1.7.2","Spark: 1.6.x, 2.x, or 3.x"
"sparklyr.flint","0.2.1","Spark: 2.x or above"
"sparklyr.nested","0.0.3","Spark: 1.6.x or 2.x"
"sparktf","0.1.0","TensorFlow (https://www.tensorflow.org/)"
"sparkwarc","0.1.5","C++11"
"sparseHessianFD","0.3.3.5","C++11"
"sparsevb","0.1.0","C++11"
"sparta","0.8.1.1","C++11"
"spate","1.7","fftw3 (>= 3.1.2)"
"SpatialKWD","0.4.0","C++11"
"spatialwidget","0.2.3","C++11"
"spatPomp","0.28.0.0","For Windows users, Rtools (see
https://cran.r-project.org/bin/windows/Rtools/)."
"spatsoc","0.1.16","GEOS (>= 3.2.0)"
"specklestar","0.0.1.7","fftw3 (>= 3.1.2)"
"specmine","3.1.6","Python (>=3.5.2) and the following python module:
nmrglue."
"spectre","1.0.2","C++11"
"spgrass6","0.8-9","GRASS (>= 6.3, < 7)"
"spherepc","0.1.7","XQuartz (on MacOS)"
"spiderbar","0.2.4","C++11"
"spm12r","2.8.3","MATLAB"
"spNetwork","0.2.0","C++17"
"spongecake","0.1.2","FFmpeg (http://ffmpeg.org)"
"spray","1.0-11","C++11"
"spsurv","1.0.0","GNU make"
"SqlRender","1.8.1","Java version 8 or higher (https://www.java.com/)"
"sqp","0.5","C++11, GNU Make"
"SSDL","1.1","C++11"
"ssh","0.8.0","libssh >= 0.6.0 (the original, not libssh2)"
"SSHAARP","1.1.0","GMT (5 or 6), Ghostscript (>=9.6)"
"ssMousetrack","1.1.5","GNU make"
"stanette","2.21.2","GNU make, pandoc"
"StanHeaders","2.21.0-7","pandoc"
"StanMoMo","1.0.0","GNU make"
"staplr","3.1.1","Java 8 or higher"
"startR","2.1.0","cdo ecFlow"
"starvz","0.6.0","C++, arrow package with gzip codec, StarPU"
"statgenGxE","1.0.4","pdflatex"
"statgenSTA","1.0.8","pdflatex"
"Statsomat","1.0","For all functions resp. apps: pandoc, LaTeX. For
the edapy() function resp. Statsomat/EDAPY app: Python (>=3)."
"StepSignalMargiLike","2.6.0","C++11"
"stevedore","0.9.3","docker"
"stmgp","1.0.4","PLINK must be installed"
"StMoSim","3.1.1","C++11, GNU make"
"stplanr","0.8.4","GNU make"
"strawr","0.0.9","libcurl: libcurl-devel (rpm) or
libcurl4-openssl-dev (deb)"
"streambugs","1.2","C99"
"streamMOA","1.2-3","Java (>= 8)"
"strider","1.3","C++11"
"string2path","0.0.3","Cargo (rustc package manager)"
"stringfish","0.15.4","C++11, GNU make"
"stringi","1.7.5","C++11, ICU4C (>= 55, optional)"
"strm","0.1.2","C++11, GDAL (>= 1.11.4), GEOS (>= 3.4.0), PROJ (>=
6.3.1)"
"subspace","1.0.4","Java (>= 6)"
"sudachir","0.1.0","Python (>= 2.7.0)"
"SuperGauss","2.0.2","fftw3 (>= 3.1.2)"
"survHE","1.1.2","GNU make"
"survSNP","0.25","GNU GSL (>= 1.14)"
"svDialogs","1.0.3","zenity, yad"
"svglite","2.0.0","C++11, libpng"
"svKomodo","0.9-63","Komodo Edit (http://www.openkomodo.com), SciViews-K
(http://www.sciviews.org/SciViews-K)"
"switchboard","0.1","Tcl/Tk toolkit (X11 Quarts for Mac)"
"switchr","0.14.3","git, svn"
"swmmr","0.9.1","SWMM (>=5.1.012)"
"SymbolicDeterminants","2.0.0","gmp (>= 4.2.3)"
"symengine","0.1.5","GNU make, cmake, gmp, mpfr"
"symmetry","0.2.1","C++11"
"synchronicity","1.3.5","C++11"
"sysfonts","0.8.5","zlib, libpng, FreeType"
"systemfonts","1.0.3","c(""C++11"", ""\n fontconfig"", ""\n freetype2""), C++11"
"tables","0.9.6","pandoc (>= 1.12.3) for vignettes"
"tabr","0.4.5","LilyPond v2.23.0+ (only needed for rendering sheet
music or writing MIDI files)"
"tabulizer","0.2.2","Java (>= 7.0)"
"tabulizerjars","1.0.1","Java (>= 7.0)"
"tapkee","1.2","'tapkee' (http://tapkee.lisitsyn.me/)"
"TAQMNGR","2018.5-1","zlib headers and library"
"TBRDist","1.0.2","C++11"
"TCIU","1.2.0","GNU make"
"tcltk2","1.2-11","Tcl/Tk (>= 8.5), Tktable (>= 2.9, optional)"
"TDA","1.7.7","C++11, gmp"
"TDAstats","0.4.1","C++11"
"telefit","1.0.3","A system with a recent-enough C++11 compiler (such
as g++-4.8 or later)."
"tensorflow","2.6.0","TensorFlow (https://www.tensorflow.org/)"
"terra","1.4-11","C++11, GDAL (>= 2.2.3), GEOS (>= 3.4.0), PROJ (>=
4.9.3), sqlite3"
"terrainmeshr","0.1.0","C++11"
"tesseract","4.1.2","Tesseract >= 3.03 (libtesseract-dev /
tesseract-devel) and Leptonica (libleptonica-dev /
leptonica-devel). On Debian you need to install the English
training data separately (tesseract-ocr-eng)"
"TestDesign","1.2.6","C++11"
"TexExamRandomizer","1.2.3","C++11, A modern compiler (>=gcc-4.9), And latexmk
is necessary to compile all output documents with the functions
provided by this package"
"texreg","1.37.5","pandoc (>= 1.12.3) suggested for using wordreg
function; LaTeX packages tikz, booktabs, dcolumn, rotating,
thumbpdf, longtable, paralist for the vignette"
"text","0.9.10","Python (>= 3.6.0)"
"text2vec","0.6","C++11"
"textmineR","3.0.5","GNU make, C++11"
"textrecipes","0.4.1","GNU make, C++11"
"textshaping","0.3.6","C++11, freetype2, harfbuzz, fribidi"
"textTinyR","1.1.6","libarmadillo: apt-get install -y libarmadillo-dev
(deb)"
"tfaddons","0.10.0","TensorFlow >= 2.0 (https://www.tensorflow.org/)"
"tfautograph","0.3.2","TensorFlow (https://www.tensorflow.org/)"
"tfdatasets","2.6.0","TensorFlow >= 1.4 (https://www.tensorflow.org/)"
"tfestimators","1.9.2","TensorFlow (https://www.tensorflow.org/)"
"tfhub","0.8.0","TensorFlow >= 2.0 (https://www.tensorflow.org/)"
"tfio","0.4.1","TensorFlow >= 1.13.0 (https://www.tensorflow.org/)
and TensorFlow IO >= 0.4.0 (https://github.com/tensorflow/io)"
"TFMPvalue","0.0.8","C++11"
"tfprobability","0.12.0.0","TensorFlow Probability
(https://www.tensorflow.org/probability)"
"tgstat","2.3.16","C++11"
"Thermimage","4.1.3","exiftool, perl, ffmpeg, imagemagick"
"thurstonianIRT","0.12.1","GNU make"
"tidycwl","1.0.5","PhantomJS (https://phantomjs.org), pandoc (>=
1.12.3) - https://pandoc.org."
"tidylda","0.0.1","C++11"
"tidyr","1.1.4","C++11"
"tidysq","1.1.2-1","GNU make, C++17"
"tiff","0.1-8","tiff and jpeg libraries"
"tikzDevice","0.12.3.1","pgf (>= 2.00)"
"tiledb","0.9.7","cmake (only when TileDB source build selected), git
(only when TileDB source build selected); on x86_64 platforms
pre-built TileDB Embedded libraries are available at GitHub and
are used if no TileDB installation is detected, and no other
option to build or download was specified by the user."
"tiler","0.2.5","Python (>= 2.7), python-gdal library (For Windows,
gdal installed via OSGeo4W <https://trac.osgeo.org/osgeo4w/>
recommended) clipboard"
"timechange","0.0.2","A system with zoneinfo data (e.g.
/usr/share/zoneinfo) as well as a recent-enough C++11 compiler
(such as g++-4.8 or later). On Windows the zoneinfo included
with R is used."
"tipitaka","0.1.2","C++14"
"TiPS","1.0","C++11"
"tkrplot","0.0-26","Windows or X11"
"tkRplotR","0.1.7","Tcl/Tk (>= 8.6)"
"tm","0.7-8","C++11"
"tokenbrowser","0.1.5","C++11"
"TooManyCellsR","0.1.1.0","'TooManyCells'
(https://github.com/GregorySchwartz/too-many-cells)"
"topicmodels","0.2-12","GNU Scientific Library version >= 1.8, C++11"
"torch","0.6.0","C++11, LibTorch (https://pytorch.org/)"
"touch","0.1-5","C++11"
"trackdem","0.6","Python (>=2.7), Libav, ExifTool"
"trackter","0.1.1","FFmpeg"
"TraMineR","2.2-2","C++11"
"transformr","0.1.3","C++11"
"TransPhylo","1.4.5","C++11"
"TreeBUGS","1.4.7","JAGS (http://mcmc-jags.sourceforge.net)"
"TreeDist","2.2.0","C++14"
"treeducken","1.1.0","C++11"
"TreeSearch","1.0.1","C++14"
"TreeTools","1.5.1","C++14"
"trialr","0.1.5","GNU make"
"triangulr","1.2.1","C++11"
"TriDimRegression","1.0.1","GNU make"
"trustOptim","0.8.7.3","C++11"
"tsapp","1.0.3","under Linux, fftwtools needs libfftw3-dev"
"tsmp","0.4.14","GNU make"
"TukeyRegion","0.1.4","C++11"
"tutorial","0.4.3","pandoc (>= 1.12.3) -
http://johnmacfarlane.net/pandoc"
"tzdb","0.1.2","C++11"
"uavRmp","0.5.7","GNU make"
"ubiquity","2.0.0","Perl"
"ubms","1.0.2","GNU make"
"uchardet","1.1.0","C++11, GNU make"
"udunits2","0.13","udunits-2"
"ulid","0.3.0","C++11"
"unine","0.2.0","C++11"
"units","0.7-2","udunits-2"
"unix","1.5.3","POSIX.1-2001, AppArmor (optional)"
"unmarked","1.1.1","GNU make"
"untb","1.7-4","PARI/GP >= 2.3.0 [strongly recommended for
logkda()]"
"UPCM","0.0-3","C++11"
"UPG","0.2.2","C++11"
"utr.annotation","1.0.4","Linux or MacOS Intel chip tensorflow (1.14.0)"
"V8","3.4.2","V8 engine version 6+ is needed for modern JS and
WASM support. On Debian / Ubuntu install either libv8-dev or
libnode-dev, on Fedora use v8-devel. The readme has
instructions for installing backports on Ubuntu Xenial and
Bionic. It is still possible to build this package against the
legacy libv8 version 3.14 branch, but these engines only
support traditional JavaScript (ES5)."
"valection","1.0.0","valection (>= 1.0.0)"
"valr","0.6.3","C++11"
